THBS1-SCARB1,0
THBS1-ITGA3,0
MSTN-ACVR2B,0
VWF-LRP1,1
VWF-ITGB3,0
VWF-ITGA2B,0
VWF-TNFRSF11B,1
VWF-SELP,0
VWF-GP1BA,1
VWF-SCARA5,1
VWF-STAB2,0
VWF-SIRPA,0
CDH1-EGFR,0
CDH1-ITGB7,0
CDH1-ERBB3,0
CDH1-KLRG1,0
CDH1-ITGAE,0
CDH1-PTPRM,0
TIMP2-ITGA3,0
IL1A-IL1R1,0
IL1B-IL1R1,0
IL1B-SIGIRR,0
IL7-IL2RG,0
IL7-IL7R,0
CKLF-CCR4,0
CKLF-LRP6,0
FARP2-PLXNA3,0
FARP2-PLXNA1,0
LAMC2-ITGA2,0
LAMC2-CD151,0
LAMC2-COL17A1,0
LAMC2-ITGA3,0
NID1-COL13A1,1
NID1-ITGB3,0
NID1-ITGA3,0
NMU-GRM7,0
NMU-NMUR1,0
NMU-NMUR2,0
FGF2-FGFR2,0
FGF2-FGFR3,0
FGF2-SDC2,0
FGF2-SDC1,0
FGF2-SDC3,0
FGF2-GPC4,0
FGF10-FGFR2,0
OLFM2-ROBO2,0
F13A1-ITGA4,0
F13A1-ITGA9,0
KNG1-GRM7,0
KNG1-ITGB2,0
KNG1-SDC2,0
KNG1-ITGAM,0
KNG1-CD93,0
KNG1-GP1BA,0
KNG1-RXFP4,0
KNG1-BDKRB1,0
EGF-EGFR,0
EGF-ERBB4,0
EGF-ERBB2,0
EGF-RHBDL2,0
EGF-LDLR,0
EGF-ERBB3,0
EGF-AXL,0
EGF-FSHR,0
WNT2-FZD2,0
WNT2-LRP6,0
WNT2-FZD5,0
WNT2-FZD4,0
WNT2-FZD9,0
WNT2-FZD3,0
NPTX2-NPTXR,0
GAL-GRM7,0
GAL-GALR1,0
GAL-GALR3,0
ADAM2-ITGB7,0
ADAM2-CD9,0
ADAM2-ITGA9,0
ADAM28-ITGA4,0
INHBE-ACVR2B,0
DHH-PTCH1,0
DHH-BOC,0
DHH-CDON,0
DHH-PTCH2,0
NPFF-NPFFR1,0
NPFF-NPFFR2,0
FGF7-FGFR2,0
FGF7-FGFR3,0
MFGE8-ITGB3,0
MFGE8-PDGFRB,0
CGN-TGFBR2,0
CGN-F11R,0
REN-ATP6AP2,0
GDF7-BMPR1A,0
CALM2-GRM7,0
CALM2-EGFR,0
CALM2-SELL,0
CALM2-KCNQ3,0
CALM2-MYLK,0
CALM2-PDE1A,0
CALM2-PDE1C,0
CALM2-GP6,0
CALM2-SCN10A,0
CALM2-AQP6,0
CALM2-AQP1,0
CALM2-SCN4A,0
CALM2-TRPC5,0
CALM2-CACNA1C,0
NXPH2-NRXN1,0
UCN2-IL10RB,0
UCN2-CRHR2,0
UCN2-CRHR1,0
SFRP2-FZD5,0
IL9-IL2RG,0
IL9-IL9R,0
FGF18-FGFR2,0
FGF18-FGFR3,0
