0.306,0.43,0.221,0.099,0.349,0.306,0.343,0.221,0.352,0.423,0.327,0.251,0.4,0.303,0.327,0.138,0.193,0.332,0.371,0.127,0.763,0.23,0.225,0.154,0.196,0.205,0.243,0.238,0.137,0.159,0.024,0.17,0.119,0.195,0.208,0.055,0.25,0.227,0.294,0.146,0.307,0.089,75.446,73.663,99.758,25.633,74.631,100,25.523,99.978,25.039,52.233,0.088,24.928,49.329,49.659,26.293,100,0.022,76.26,74.279,50.363,99.956,0.044,25.215,26.293,51.309,51.507,0.066,99.978,0.022,74.763,0.506,100,0.066,47.217,0.572,0.066,99.758,75.38,0.572,0.022,49.659,24.598,49.285,0.022,77.404,0.088,24.994,49.417,100,99.934,24.84,100,50.099,48.867,74.939,0.044,48.625,72.563,73.773,24.378,0.044,74.213,0.506,24.928,51.111,24.048,50.231,99.956,99.956,25.083,74.433,0.022,75.732,75.578,24.862,99.978,24.906,74.587,74.609,75.732,49.527,99.934,24.928,25.171,0.506,74.323,51.507,24.906,0.022,100,73.773,24.708,49.549,99.89,99.758,25.237,49.483,99.978,51.793,75.666,99.934,0.022,0.066,99.758,50.979
0.433,0.513,0.246,0.088,0.241,0.391,0.263,0.246,0.346,0.524,0.229,0.246,0.292,0.445,0.229,0.045,0.167,0.496,0.326,0.096,0.867,0.213,0.284,0.116,0.139,0.162,0.151,0.276,0.216,0.139,0.009,0.128,0.119,0.287,0.077,0.054,0.253,0.261,0.196,0.085,0.261,0.094,75.071,71.955,98.867,28.895,71.388,100,22.38,100,22.38,66.856,1.133,26.346,51.558,56.091,33.711,99.717,0.283,86.686,76.204,50.142,99.717,1.133,26.062,33.711,41.36,62.04,0.85,100,0.283,73.088,0.567,98.867,0.85,47.309,0.567,1.416,98.867,77.62,0.567,0.283,56.091,21.813,47.025,0.283,82.153,0.85,24.646,44.759,99.717,99.433,18.414,100,46.459,50.425,92.068,0.85,48.725,73.654,76.771,23.513,1.133,71.671,0.567,26.346,62.89,28.329,52.691,98.017,99.717,18.697,72.238,0.283,85.552,75.637,22.663,100,24.363,75.354,73.938,85.552,47.875,99.433,21.53,27.195,1.983,71.955,62.04,29.745,0.283,99.717,76.771,20.113,40.51,100,98.867,17.564,48.159,100,52.125,74.504,99.433,0.283,0.85,98.867,62.606
0.353,0.438,0.287,0.091,0.275,0.394,0.245,0.287,0.361,0.521,0.215,0.264,0.322,0.438,0.215,0.05,0.14,0.482,0.347,0.102,0.86,0.18,0.254,0.11,0.204,0.152,0.13,0.348,0.196,0.133,0.022,0.191,0.141,0.257,0.077,0.041,0.254,0.293,0.171,0.16,0.24,0.075,71.625,74.38,98.072,20.937,74.105,99.725,26.171,99.725,25.069,50.413,1.102,20.11,51.515,49.587,28.65,100,0.275,70.523,75.207,51.791,100,1.102,27.273,28.65,42.975,51.791,1.653,99.725,0.275,74.38,0.551,98.623,0.826,52.893,0.551,1.377,99.449,70.523,0.551,0.275,49.587,25.62,52.893,0.275,74.656,0.826,25.344,45.455,100,98.898,21.763,100,47.107,49.587,76.86,1.377,54.27,76.584,73.003,17.08,1.102,75.758,0.551,20.11,55.923,22.039,49.587,98.347,100,17.08,72.727,0.275,79.339,69.421,22.039,99.725,25.069,67.218,68.871,79.339,48.76,98.898,11.295,27.548,0.826,74.931,51.791,28.099,0.275,100,73.003,21.763,47.934,99.725,99.449,21.212,43.251,99.725,45.455,75.758,98.898,0.275,0.826,98.072,55.923
0.418,0.482,0.253,0.087,0.265,0.36,0.232,0.253,0.408,0.528,0.232,0.24,0.296,0.454,0.232,0.069,0.153,0.482,0.314,0.099,0.844,0.189,0.292,0.11,0.174,0.194,0.13,0.32,0.197,0.125,0.018,0.159,0.151,0.233,0.11,0.033,0.248,0.235,0.215,0.138,0.266,0.077,75.255,71.173,99.745,42.857,72.194,99.235,23.469,98.724,25.51,52.041,0.51,30.867,46.684,50,29.082,99.235,0.255,87.245,75.765,52.296,97.449,0.51,24.235,29.082,46.939,63.01,0.51,100,0.255,72.959,1.531,100,0.51,53.316,1.531,0.765,99.745,87.245,1.531,0.255,50,25.51,46.173,0.255,78.571,0.51,23.214,46.939,99.235,100,22.704,100,45.663,46.684,78.316,0.765,50.765,73.469,76.02,19.133,1.786,70.663,1.531,30.867,66.071,22.704,50,100,99.235,19.388,76.531,0.255,86.224,77.551,21.939,100,24.745,74.235,76.531,86.224,47.449,98.469,19.133,25.51,3.827,71.429,63.01,27.806,0.255,99.235,76.02,18.622,45.663,98.724,99.745,43.367,48.724,98.724,53.061,72.704,100,0.255,1.02,99.745,65.816
0.359,0.468,0.213,0.091,0.319,0.264,0.305,0.213,0.431,0.438,0.28,0.282,0.404,0.313,0.28,0.118,0.225,0.339,0.407,0.117,0.791,0.282,0.237,0.159,0.158,0.171,0.241,0.265,0.151,0.142,0.025,0.165,0.154,0.193,0.183,0.038,0.318,0.246,0.254,0.133,0.31,0.085,78.829,72.523,98.649,32.545,72.072,100,22.973,98.874,22.523,57.995,0.563,26.014,50.45,55.856,32.883,100,0.113,75.45,73.761,46.622,99.324,0.45,25.338,32.883,47.523,55.518,0.225,99.662,0.113,73.649,0.338,100,0.225,46.734,0.338,0.45,98.649,74.437,0.338,0.113,55.856,25.113,49.775,0.113,73.761,0.225,23.536,46.171,100,99.775,23.423,100,46.847,51.014,80.293,0.225,51.914,70.045,74.775,20.608,0.45,71.622,0.338,26.014,56.419,25.45,49.775,99.662,99.887,25,78.266,0.113,77.027,78.829,23.986,99.662,22.86,74.212,76.914,77.027,47.297,99.775,29.279,26.689,2.477,72.748,55.518,24.099,0.113,100,74.775,23.649,49.437,98.874,98.649,38.964,46.396,98.874,43.468,71.622,99.775,0.113,0.225,98.649,55.518
0.352,0.437,0.241,0.111,0.322,0.323,0.301,0.241,0.376,0.41,0.307,0.284,0.376,0.314,0.307,0.116,0.195,0.351,0.379,0.132,0.773,0.213,0.232,0.164,0.198,0.213,0.213,0.243,0.171,0.17,0.025,0.187,0.134,0.213,0.176,0.055,0.263,0.23,0.261,0.163,0.287,0.097,76.118,75,99.39,27.846,73.374,100,24.797,100,22.663,48.374,2.134,23.984,50.203,52.541,24.695,99.898,0.102,75.813,74.797,46.748,99.898,0.305,21.443,24.695,46.748,48.476,0.407,100,0.102,74.593,0.203,99.39,0.203,48.882,0.407,0.305,99.39,74.085,3.659,0.102,52.541,25.305,52.236,0.102,70.63,0.203,24.898,50.915,99.593,99.492,28.455,100,50.915,50.203,72.764,0.305,52.337,73.679,74.797,23.984,0.508,75,0.203,23.984,53.049,25.711,49.289,99.898,99.898,24.39,75.915,0.102,74.797,75.407,28.252,100,22.866,74.492,74.492,74.797,49.492,98.984,22.256,21.545,0.203,75.407,48.476,24.695,0.102,99.898,74.797,28.049,52.134,100,99.39,28.354,49.085,100,44.004,73.476,99.492,0.102,0.203,99.39,54.98
0.371,0.438,0.235,0.097,0.327,0.288,0.304,0.235,0.408,0.463,0.297,0.239,0.373,0.327,0.297,0.118,0.191,0.359,0.375,0.123,0.786,0.258,0.219,0.125,0.179,0.19,0.203,0.257,0.154,0.142,0.022,0.162,0.136,0.186,0.161,0.05,0.276,0.257,0.269,0.144,0.295,0.087,70.656,77.413,99.807,16.892,75.676,99.614,24.035,99.614,33.108,55.695,0.386,27.51,54.73,48.263,20.849,99.228,0.097,72.49,75.965,56.178,97.683,0.386,29.44,20.849,45.849,54.44,0.193,100,0.097,75.097,0.772,100,0.193,57.336,0.772,0.869,99.807,70.463,0.772,0.097,48.263,23.069,47.587,0.097,79.344,0.193,24.903,41.795,99.421,100,22.008,100,42.568,52.799,73.069,0.193,52.124,79.247,72.49,33.108,1.351,78.282,0.772,27.51,48.649,24.421,51.255,100,99.903,25.772,70.174,0.097,77.027,72.587,20.56,100,31.564,74.517,70.656,77.027,49.228,99.421,30.985,27.124,3.282,74.324,54.44,25.386,0.097,99.421,72.49,21.332,41.892,99.614,99.807,16.892,48.938,99.614,57.432,78.668,100,0.097,0.193,99.807,48.456
0.376,0.491,0.211,0.108,0.298,0.323,0.316,0.211,0.361,0.429,0.342,0.229,0.342,0.323,0.342,0.123,0.228,0.351,0.335,0.123,0.769,0.23,0.225,0.149,0.205,0.237,0.228,0.223,0.141,0.158,0.029,0.139,0.162,0.194,0.192,0.051,0.266,0.188,0.316,0.122,0.297,0.098,74.311,76.065,100,20.426,77.82,99.875,28.947,99.624,26.441,55.263,0.251,21.805,50.752,44.361,21.805,99.875,0.125,76.441,76.441,52.632,99.624,0.251,25.439,21.805,48.496,50.877,0.877,99.749,0.125,74.436,0.251,100,0.877,48.12,3.008,0.752,100,78.195,3.008,0.125,44.361,19.925,52.632,0.125,73.058,0.251,25.815,47.619,99.875,100,24.687,99.875,47.494,49.749,76.942,0.376,45.113,73.183,77.569,25.815,0.251,76.692,0.251,21.805,50.376,23.935,55.514,99.749,99.875,25.815,73.684,0.125,72.682,70.802,25.815,99.749,27.068,73.058,74.311,72.682,48.872,99.749,26.316,25.94,2.882,76.566,50.877,29.073,0.125,99.875,77.569,24.687,47.494,99.624,100,17.043,44.486,99.123,51.378,75.815,100,0.125,0.877,100,51.88
0.399,0.5,0.177,0.086,0.323,0.222,0.359,0.177,0.419,0.449,0.313,0.237,0.419,0.318,0.313,0.182,0.242,0.343,0.369,0.091,0.732,0.289,0.188,0.178,0.147,0.142,0.234,0.218,0.096,0.102,0.02,0.132,0.137,0.137,0.254,0.051,0.315,0.203,0.198,0.091,0.289,0.051,67.172,80.303,95.96,44.949,80.808,100,18.687,99.495,19.192,36.364,1.515,29.293,49.495,66.162,37.374,100,0.505,87.879,75.253,45.96,99.495,1.515,15.657,37.374,42.929,52.02,1.01,98.485,0.505,75.253,12.121,100,1.01,47.98,13.636,2.525,99.495,87.879,13.636,0.505,66.162,19.192,47.475,0.505,56.061,1.515,22.222,47.475,100,98.485,25.253,100,41.414,54.04,56.061,1.01,50,73.737,87.879,25.758,3.03,78.283,12.121,29.293,64.646,24.242,65.152,98.485,97.98,25.253,69.192,0.505,70.202,63.636,23.232,98.485,18.687,67.172,69.697,70.202,48.99,98.485,25.758,18.687,12.121,77.273,52.02,35.354,0.505,100,87.879,24.242,43.939,99.495,99.495,50,48.485,98.99,45.96,70.707,98.485,0.505,1.01,95.96,64.646
0.366,0.457,0.202,0.083,0.341,0.26,0.334,0.202,0.406,0.453,0.278,0.269,0.413,0.299,0.278,0.098,0.222,0.338,0.423,0.099,0.82,0.265,0.204,0.145,0.178,0.174,0.237,0.264,0.142,0.135,0.017,0.176,0.162,0.182,0.156,0.042,0.299,0.268,0.265,0.144,0.311,0.06,70.56,75.689,99.335,34.283,73.124,100,24.027,99.24,28.49,49.288,0.57,30.294,51.757,53.276,25.071,100,0.095,82.241,80.247,53.751,99.81,0.57,25.546,25.071,44.444,55.651,0.19,99.24,0.095,74.929,0.665,100,0.19,54.986,0.665,0.38,99.335,82.241,0.665,0.095,53.276,28.585,47.293,0.095,77.683,0.19,24.027,43.305,100,99.905,22.792,100,43.02,50.427,68.566,0.19,56.41,77.493,76.163,24.501,1.235,75.973,0.665,30.294,56.125,21.747,46.534,99.525,99.905,23.267,69.231,0.095,76.163,69.991,21.557,99.525,25.546,74.644,71.7,76.163,48.908,99.905,27.54,24.786,4.558,73.599,55.651,23.172,0.095,100,76.163,21.652,43.02,99.715,99.335,28.3,46.914,99.24,54.606,77.493,99.905,0.095,0.19,99.335,58.689
