ICOSLG_ICOS,SEMA3F_PLXNA3,SEMA3F_PLXNA3,,1
ICOSLG_CD28,SEMA3F_PLXNA1,#N/A,,
CD80_CD28,SEMA3F_NRP1,SEMA3F_NRP1,,
CD86_CD28,SEMA3F_NRP2,SEMA3F_NRP2,,
CD70_CD27,CX3CL1_CX3CR1,CX3CL1_CX3CR1,,
TNFSF14_TNFRSF14,HEBP1_ADRA2A,#N/A,,
CD40LG_CD40,HEBP1_MTNR1A,#N/A,,
TNFSF9_TNFRSF9,HEBP1_FPR3,HEBP1_FPR3,,
TNFSF4_TNFRSF4,HEBP1_GRM7,#N/A,,
TNFSF15_TNFRSF25,DCN_EGFR,DCN_EGFR,,
TNFSF18_TNFRSF18,DCN_MET,DCN_MET,,
TNFSF8_TNFRSF8,DCN_ERBB4,DCN_ERBB4,,
SLAMF1_SLAMF1,GRN_EGFR,#N/A,,
CD48_CD2,GRN_TNFRSF1A,#N/A,,
CD58_CD2,GRN_SORT1,#N/A,,
PVR_CD226,GRN_TNFRSF1B,#N/A,,
NECTIN2_CD226,GRN_CLEC4M,#N/A,,
CD86_CTLA4,UTS2_UTS2R,UTS2_UTS2R,,
CD80_CTLA4,ICAM3_CLEC4M,ICAM3_CLEC4M,,
PDCD1LG2_PDCD1,ICAM3_ITGAL,ICAM3_ITGAL,,
CD274_PDCD1,ICAM3_ITGB2,ICAM3_ITGB2,,
CD274_CD80,ICAM3_CD209,#N/A,,
TNFRSF14_CD160,ICAM3_ITGAD,ICAM3_ITGAD,,
TNFRSF14_BTLA,CEACAM1_EGFR,#N/A,,
LGALS9_HAVCR2,CEACAM1_CD209,#N/A,,
CD48_CD244,CEACAM1_SELE,#N/A,,
PVR_TIGIT,PRLH_PRLHR,PRLH_PRLHR,,
NECTIN2_TIGIT,FGF4_NRP1,FGF4_NRP1,,
NECTIN3_TIGIT,FGF4_FGFR2,FGF4_FGFR2,,
ICOSLG_CTLA4,FGF4_FGFR4,FGF4_FGFR4,,
CADM1_CRTAM,FGF4_FGFR1,FGF4_FGFR1,,
TIMD4_HAVCR1,FGF4_FGFR3,FGF4_FGFR3,,
HAVCR1_HAVCR1,ST6GAL1_EGFR,#N/A,,
SLAMF6_SLAMF6,ST6GAL1_CD22,#N/A,,
CD84_CD84,NTN1_UNC5D,NTN1_UNC5D,,
LY9_LY9,NTN1_UNC5B,NTN1_UNC5B,,
SLAMF7_SLAMF7,NTN1_DCC,NTN1_DCC,,
LTA_TNFRSF1A,NTN1_UNC5A,NTN1_UNC5A,,
TNF_TNFRSF1B,NTN1_ADORA2B,NTN1_ADORA2B,,
TNFSF14_LTBR,NTN1_UNC5C,NTN1_UNC5C,,
FASLG_FAS,NTN1_NEO1,NTN1_NEO1,,
TNFSF10_TNFRSF10A,SCT_PTH1R,#N/A,,
TNFSF10_TNFRSF10B,SCT_ADCYAP1R1,#N/A,,
TNFSF10_TNFRSF10C,SCT_RAMP2,#N/A,,
TNFSF10_TNFRSF10D,SCT_VIPR1,SCT_VIPR1,,
HLA-DPA1_LAG3,SCT_RAMP3,#N/A,,
HLA-DPB1_LAG3,SCT_GPR20,#N/A,,
HLA-DQA1_LAG3,SCT_ADRB2,#N/A,,
HLA-DQA2_LAG3,SCT_VIPR2,SCT_VIPR2,,
HLA-DQB1_LAG3,SCT_ADRB3,#N/A,,
HLA-DQB2_LAG3,SCT_TSHR,#N/A,,
HLA-DRA_LAG3,SCT_GPR84,#N/A,,
HLA-DRB1_LAG3,SCT_SCTR,SCT_SCTR,,
HLA-DRB3_LAG3,FGF20_FGFR2,#N/A,,
HLA-DRB4_LAG3,FGF20_FGFR4,FGF20_FGFR4,,
HLA-DRB5_LAG3,FGF20_FGFR1,#N/A,,
NECTIN1_CD96,FGF20_FGFR3,#N/A,,
PVR_CD96,CEACAM6_EGFR,#N/A,,
HMGB1_HAVCR2,THPO_MPL,THPO_MPL,,
CEACAM1_HAVCR2,EFNB1_EPHB6,EFNB1_EPHB6,,
HHLA2_TMIGD2,EFNB1_EPHB4,EFNB1_EPHB4,,
PDCD1LG2_RGMB,EFNB1_ERBB2,EFNB1_ERBB2,,
CLEC4G_LAG3,EFNB1_EPHB1,EFNB1_EPHB1,,
FGL1_LAG3,EFNB1_EPHB3,EFNB1_EPHB3,,
A2M_LRP1,EFNB1_EPHB2,EFNB1_EPHB2,,
AANAT_MTNR1A,EFNB1_EPHA4,#N/A,,
AANAT_MTNR1B,EFNB1_EPHA6,#N/A,,
ACE_AGTR2,DLL3_NOTCH1,#N/A,,
ACE_BDKRB2,DLL3_NOTCH4,#N/A,,
ADAM10_AXL,DLL3_NOTCH2,#N/A,,
ADAM10_EPHA3,DLL3_NOTCH3,#N/A,,
ADAM12_ITGA9,SEMA4G_PLXNB2,SEMA4G_PLXNB2,,
ADAM12_ITGB1,VCL_ITGB5,#N/A,,
ADAM12_SDC4,VCL_ALK,#N/A,,
ADAM15_ITGA5,EFNA2_EPHA4,EFNA2_EPHA4,,
ADAM15_ITGA9,EFNA2_EPHA6,EFNA2_EPHA6,,
ADAM15_ITGAV,EFNA2_EPHA7,EFNA2_EPHA7,,
ADAM15_ITGB1,EFNA2_EPHA10,#N/A,,
ADAM15_ITGB3,EFNA2_EPHA3,EFNA2_EPHA3,,
ADAM17_ERBB4,EFNA2_EPHA1,#N/A,,
ADAM17_ITGA5,EFNA2_EPHA5,EFNA2_EPHA5,,
ADAM17_ITGB1,EFNA2_EPHA2,EFNA2_EPHA2,,
ADAM17_NOTCH1,EFNA2_EPHA8,EFNA2_EPHA8,,
ADAM23_ITGA5,FGF22_FGFR2,FGF22_FGFR2,,
ADAM23_ITGB3,FGF22_FGFR1,#N/A,,
ADAM28_ITGA4,MADCAM1_ITGA4,MADCAM1_ITGA4,,
ADAM2_CD9,MADCAM1_CD44,MADCAM1_CD44,,
ADAM2_ITGA6,MADCAM1_ITGB7,MADCAM1_ITGB7,,
ADAM2_ITGA9,MIF_EGFR,#N/A,,
ADAM2_ITGB1,MIF_CD44,#N/A,,
ADAM2_ITGB7,MIF_CXCR4,#N/A,,
ADAM9_ITGA3,MIF_CXCR2,#N/A,,
