A2m_Lrp1,Wnt3_Fzd6,#N/A
Aanat_Mtnr1a,Wnt3_Egfr,#N/A
Aanat_Mtnr1b,Wnt3_Fzd2,#N/A
Ace_Agtr2,Wnt3_Lrp5,#N/A
Ace_Bdkrb2,Wnt3_Fzd1,Wnt3_Fzd1
Adam10_Axl,Wnt3_Fzd3,#N/A
Adam10_Epha3,Wnt3_Fzd8,Wnt3_Fzd8
Adam12_Itga9,Wnt3_Ror1,#N/A
Adam12_Itgb1,Wnt3_Lrp6,Wnt3_Lrp6
Adam12_Sdc4,Wnt3_Ror2,#N/A
Adam15_Itga5,Wnt3_Fzd5,#N/A
Adam15_Itga9,Wnt3_Fzd7,Wnt3_Fzd7
Adam15_Itgav,Wnt9a_Egfr,#N/A
Adam15_Itgb1,Wnt9a_Fzd7,#N/A
Adam15_Itgb3,Wnt9a_Fzd9,#N/A
Adam17_Erbb4,Wnt9a_Fzd4,#N/A
Adam17_Itga5,Fgf23_Fgfr1,Fgf23_Fgfr1
Adam17_Itgb1,Fgf23_Fgfr4,Fgf23_Fgfr4
Adam17_Notch1,Fgf23_Fgfr2,Fgf23_Fgfr2
Adam2_Cd9,Fgf23_Fgfr3,Fgf23_Fgfr3
Adam2_Itga6,Fgf23_Kl,#N/A
Adam2_Itga9,Fgf6_Fgfr1,Fgf6_Fgfr1
Adam2_Itgb1,Fgf6_Fgfr4,Fgf6_Fgfr4
Adam2_Itgb7,Fgf6_Fgfr2,Fgf6_Fgfr2
Adam23_Itga5,Fgf6_Fgfr3,Fgf6_Fgfr3
Adam23_Itgb3,Ccl2_Ccr4,Ccl2_Ccr4
Adam28_Itga4,Ccl2_Ccr2,Ccl2_Ccr2
Adam9_Itga3,Ccl2_Ackr1,#N/A
Adam9_Itga6,Ccl2_Ackr2,Ccl2_Ackr2
Adam9_Itgav,Ccl12_Ccr4,#N/A
Adam9_Itgb1,Ccl12_Ccr2,#N/A
Adam9_Itgb5,Cdh1_Egfr,Cdh1_Egfr
Adcyap1_Adcyap1r1,Cdh1_Fgfr1,#N/A
Adcyap1_Sctr,Cdh1_Itgb7,Cdh1_Itgb7
Adcyap1_Vipr1,Cdh1_Ptprj,#N/A
Adcyap1_Vipr2,Cdh1_Itgae,Cdh1_Itgae
Adipoq_Adipor1,Cdh1_Ptprm,Cdh1_Ptprm
Adipoq_Adipor2,Cdh1_Igf1r,Cdh1_Igf1r
Adm_Calcr,Cdh1_Klrg1,#N/A
Adm_Calcrl,Ccl11_Ccr2,Ccl11_Ccr2
Adm_Gpr182,Ccl11_Ackr2,Ccl11_Ackr2
Adm_Mrgprb1,Ccl11_Ccr5,Ccl11_Ccr5
Adm_Mrgprx2,Ccl11_Cxcr3,Ccl11_Cxcr3
Adm_Ramp2,Ccl11_Ccr3,Ccl11_Ccr3
Adm2_Calcr,Ccl11_Ackr4,Ccl11_Ackr4
Adm2_Calcrl,Pdgfb_Lrp1,Pdgfb_Lrp1
