ligand,receptor,
BMP8B,BMPR1B_ACVR2A,BMP8B_BMPR1B_ACVR2A
BMP8B,BMPR1B_ACVR2B,BMP8B_BMPR1B_ACVR2B
BMP8B,BMPR1B_BMPR2,BMP8B_BMPR1B_BMPR2
BMP10,ACVRL1_BMPR2,BMP10_ACVRL1_BMPR2
BMP10,ACVRL1_ACVR2A,BMP10_ACVRL1_ACVR2A
GDF2,ACVRL1_BMPR2,GDF2_ACVRL1_BMPR2
GDF2,ACVRL1_ACVR2A,GDF2_ACVRL1_ACVR2A
GDF9,ACVR1B_BMPR2,GDF9_ACVR1B_BMPR2
GDF10,ACVR1B_ACVR2A,GDF10_ACVR1B_ACVR2A
GDF11,TGFBR1_ACVR2A,GDF11_TGFBR1_ACVR2A
GDF11,TGFBR1_ACVR2B,GDF11_TGFBR1_ACVR2B
GDF11,ACVR1B_ACVR2B,GDF11_ACVR1B_ACVR2B
GDF15,TGFBR2,GDF15_TGFBR2
MSTN,TGFBR1_ACVR2B,MSTN_TGFBR1_ACVR2B
MSTN,ACVR1B_ACVR2B,MSTN_ACVR1B_ACVR2B
MSTN,ACVR1B_ACVR2A,MSTN_ACVR1B_ACVR2A
MSTN,TGFBR1_ACVR2A,MSTN_TGFBR1_ACVR2A
AMH,AMHR2_ACVR1,AMH_AMHR2_ACVR1
AMH,AMHR2_BMPR1A,AMH_AMHR2_BMPR1A
GDNF,GFRA1_RET,GDNF_GFRA1_RET
NRTN,GFRA2_RET,NRTN_GFRA2_RET
ARTN,GFRA3_RET,ARTN_GFRA3_RET
PSPN,GFRA4_RET,PSPN_GFRA4_RET
ARTN,GFRA1_RET,ARTN_GFRA1_RET
NODAL,ACVR1B_ACVR2A_CFC1,NODAL_ACVR1B_ACVR2A_CFC1
NODAL,ACVR1C_ACVR2A_CFC1,NODAL_ACVR1C_ACVR2A_CFC1
NODAL,ACVR1B_ACVR2B_CFC1,NODAL_ACVR1B_ACVR2B_CFC1
NODAL,ACVR1C_ACVR2B_CFC1,NODAL_ACVR1C_ACVR2B_CFC1
GDF1,ACVR1B_ACVR2A_CFC1,GDF1_ACVR1B_ACVR2A_CFC1
GDF1,ACVR1B_ACVR2B_CFC1,GDF1_ACVR1B_ACVR2B_CFC1
GDF1,ACVR1C_ACVR2A_CFC1,GDF1_ACVR1C_ACVR2A_CFC1
GDF1,ACVR1C_ACVR2B_CFC1,GDF1_ACVR1C_ACVR2B_CFC1
GDF3,ACVR1B_ACVR2A_CFC1,GDF3_ACVR1B_ACVR2A_CFC1
GDF3,ACVR1B_ACVR2B_CFC1,GDF3_ACVR1B_ACVR2B_CFC1
GDF3,ACVR1C_ACVR2A_CFC1,GDF3_ACVR1C_ACVR2A_CFC1
GDF3,ACVR1C_ACVR2B_CFC1,GDF3_ACVR1C_ACVR2B_CFC1
INHBA,ACVR1B_ACVR2A,INHBA_ACVR1B_ACVR2A
INHBA,ACVR1B_ACVR2B,INHBA_ACVR1B_ACVR2B
INHBB,ACVR1B_ACVR2A,INHBB_ACVR1B_ACVR2A
INHBB,ACVR1B_ACVR2B,INHBB_ACVR1B_ACVR2B
INHBB,ACVR1C_ACVR2A,INHBB_ACVR1C_ACVR2A
INHBB,ACVR1C_ACVR2B,INHBB_ACVR1C_ACVR2B
INHBC,ACVR1B_ACVR2A,INHBC_ACVR1B_ACVR2A
INHBC,ACVR1B_ACVR2B,INHBC_ACVR1B_ACVR2B
INHBC,ACVR1C_ACVR2A,INHBC_ACVR1C_ACVR2A
INHBC,ACVR1C_ACVR2B,INHBC_ACVR1C_ACVR2B
INHBE,ACVR1B_ACVR2A,INHBE_ACVR1B_ACVR2A
INHBE,ACVR1B_ACVR2B,INHBE_ACVR1B_ACVR2B
INHBE,ACVR1C_ACVR2A,INHBE_ACVR1C_ACVR2A
INHBE,ACVR1C_ACVR2B,INHBE_ACVR1C_ACVR2B
Activin AB,ACVR1B_ACVR2A,Activin AB_ACVR1B_ACVR2A
Activin AB,ACVR1B_ACVR2B,Activin AB_ACVR1B_ACVR2B
Activin AB,ACVR1C_ACVR2A,Activin AB_ACVR1C_ACVR2A
Activin AB,ACVR1C_ACVR2B,Activin AB_ACVR1C_ACVR2B
Inhibin A,ACVR2A,Inhibin A_ACVR2A
Inhibin B,ACVR2B,Inhibin B_ACVR2B
WNT1,FZD1_LRP5,WNT1_FZD1_LRP5
WNT1,FZD10_LRP5,WNT1_FZD10_LRP5
WNT1,FZD2_LRP5,WNT1_FZD2_LRP5
WNT1,FZD3_LRP5,WNT1_FZD3_LRP5
WNT1,FZD4_LRP5,WNT1_FZD4_LRP5
WNT1,FZD5_LRP5,WNT1_FZD5_LRP5
WNT1,FZD6_LRP5,WNT1_FZD6_LRP5
WNT1,FZD7_LRP5,WNT1_FZD7_LRP5
WNT1,FZD8_LRP5,WNT1_FZD8_LRP5
WNT1,FZD9_LRP5,WNT1_FZD9_LRP5
