ligand,receptor,
Bmp8b,ACVR1_BMPR2,Bmp8b_ACVR1_BMPR2
Bmp8b,BMPR1A_ACVR2A,Bmp8b_BMPR1A_ACVR2A
Bmp8b,BMPR1A_ACVR2B,Bmp8b_BMPR1A_ACVR2B
Bmp8b,BMPR1A_BMPR2,Bmp8b_BMPR1A_BMPR2
Bmp8b,BMPR1B_ACVR2A,Bmp8b_BMPR1B_ACVR2A
Bmp8b,BMPR1B_ACVR2B,Bmp8b_BMPR1B_ACVR2B
Bmp8b,BMPR1B_BMPR2,Bmp8b_BMPR1B_BMPR2
Bmp10,ACVRL1_BMPR2,Bmp10_ACVRL1_BMPR2
Bmp10,ACVRL1_ACVR2A,Bmp10_ACVRL1_ACVR2A
Gdf2,ACVRL1_BMPR2,Gdf2_ACVRL1_BMPR2
Gdf2,ACVRL1_ACVR2A,Gdf2_ACVRL1_ACVR2A
Gdf9,ACVR1B_BMPR2,Gdf9_ACVR1B_BMPR2
Gdf10,ACVR1B_ACVR2A,Gdf10_ACVR1B_ACVR2A
Gdf11,TGFBR1_ACVR2A,Gdf11_TGFBR1_ACVR2A
Gdf11,TGFBR1_ACVR2B,Gdf11_TGFBR1_ACVR2B
Gdf11,ACVR1B_ACVR2B,Gdf11_ACVR1B_ACVR2B
Gdf15,Tgfbr2,Gdf15_Tgfbr2
Mstn,TGFBR1_ACVR2B,Mstn_TGFBR1_ACVR2B
Mstn,ACVR1B_ACVR2B,Mstn_ACVR1B_ACVR2B
Mstn,ACVR1B_ACVR2A,Mstn_ACVR1B_ACVR2A
Mstn,TGFBR1_ACVR2A,Mstn_TGFBR1_ACVR2A
Amh,AMHR2_ACVR1,Amh_AMHR2_ACVR1
Amh,AMHR2_BMPR1A,Amh_AMHR2_BMPR1A
Gdnf,GFRA1_RET,Gdnf_GFRA1_RET
Nrtn,GFRA2_RET,Nrtn_GFRA2_RET
Artn,GFRA3_RET,Artn_GFRA3_RET
Pspn,GFRA4_RET,Pspn_GFRA4_RET
Artn,GFRA1_RET,Artn_GFRA1_RET
Nodal,ACVR1B_ACVR2A_CFC1,Nodal_ACVR1B_ACVR2A_CFC1
Nodal,ACVR1C_ACVR2A_CFC1,Nodal_ACVR1C_ACVR2A_CFC1
Nodal,ACVR1B_ACVR2B_CFC1,Nodal_ACVR1B_ACVR2B_CFC1
Nodal,ACVR1C_ACVR2B_CFC1,Nodal_ACVR1C_ACVR2B_CFC1
Gdf1,ACVR1B_ACVR2A_CFC1,Gdf1_ACVR1B_ACVR2A_CFC1
Gdf1,ACVR1B_ACVR2B_CFC1,Gdf1_ACVR1B_ACVR2B_CFC1
Gdf1,ACVR1C_ACVR2A_CFC1,Gdf1_ACVR1C_ACVR2A_CFC1
Gdf1,ACVR1C_ACVR2B_CFC1,Gdf1_ACVR1C_ACVR2B_CFC1
Gdf3,ACVR1B_ACVR2A_CFC1,Gdf3_ACVR1B_ACVR2A_CFC1
Gdf3,ACVR1B_ACVR2B_CFC1,Gdf3_ACVR1B_ACVR2B_CFC1
Gdf3,ACVR1C_ACVR2A_CFC1,Gdf3_ACVR1C_ACVR2A_CFC1
Gdf3,ACVR1C_ACVR2B_CFC1,Gdf3_ACVR1C_ACVR2B_CFC1
Inhba,ACVR1B_ACVR2A,Inhba_ACVR1B_ACVR2A
Inhba,ACVR1B_ACVR2B,Inhba_ACVR1B_ACVR2B
Inhbb,ACVR1B_ACVR2A,Inhbb_ACVR1B_ACVR2A
Inhbb,ACVR1B_ACVR2B,Inhbb_ACVR1B_ACVR2B
Inhbb,ACVR1C_ACVR2A,Inhbb_ACVR1C_ACVR2A
Inhbb,ACVR1C_ACVR2B,Inhbb_ACVR1C_ACVR2B
Inhbc,ACVR1B_ACVR2A,Inhbc_ACVR1B_ACVR2A
Inhbc,ACVR1B_ACVR2B,Inhbc_ACVR1B_ACVR2B
Inhbc,ACVR1C_ACVR2A,Inhbc_ACVR1C_ACVR2A
Inhbc,ACVR1C_ACVR2B,Inhbc_ACVR1C_ACVR2B
Inhbe,ACVR1B_ACVR2A,Inhbe_ACVR1B_ACVR2A
Inhbe,ACVR1B_ACVR2B,Inhbe_ACVR1B_ACVR2B
Inhbe,ACVR1C_ACVR2A,Inhbe_ACVR1C_ACVR2A
Inhbe,ACVR1C_ACVR2B,Inhbe_ACVR1C_ACVR2B
Activin AB,ACVR1B_ACVR2A,Activin AB_ACVR1B_ACVR2A
Activin AB,ACVR1B_ACVR2B,Activin AB_ACVR1B_ACVR2B
Activin AB,ACVR1C_ACVR2A,Activin AB_ACVR1C_ACVR2A
Activin AB,ACVR1C_ACVR2B,Activin AB_ACVR1C_ACVR2B
Inhibin A,Acvr2a,Inhibin A_Acvr2a
Inhibin B,Acvr2b,Inhibin B_Acvr2b
Wnt1,FZD1_LRP5,Wnt1_FZD1_LRP5
Wnt1,FZD10_LRP5,Wnt1_FZD10_LRP5
Wnt1,FZD2_LRP5,Wnt1_FZD2_LRP5
Wnt1,FZD3_LRP5,Wnt1_FZD3_LRP5
Wnt1,FZD4_LRP5,Wnt1_FZD4_LRP5
Wnt1,FZD5_LRP5,Wnt1_FZD5_LRP5
Wnt1,FZD6_LRP5,Wnt1_FZD6_LRP5
Wnt1,FZD7_LRP5,Wnt1_FZD7_LRP5
Wnt1,FZD8_LRP5,Wnt1_FZD8_LRP5
Wnt1,FZD9_LRP5,Wnt1_FZD9_LRP5
Wnt10a,FZD1_LRP5,Wnt10a_FZD1_LRP5
Wnt10a,FZD10_LRP5,Wnt10a_FZD10_LRP5
Wnt10a,FZD2_LRP5,Wnt10a_FZD2_LRP5
Wnt10a,FZD3_LRP5,Wnt10a_FZD3_LRP5
Wnt10a,FZD4_LRP5,Wnt10a_FZD4_LRP5
Wnt10a,FZD5_LRP5,Wnt10a_FZD5_LRP5
Wnt10a,FZD6_LRP5,Wnt10a_FZD6_LRP5
Wnt10a,FZD7_LRP5,Wnt10a_FZD7_LRP5
Wnt10a,FZD8_LRP5,Wnt10a_FZD8_LRP5
Wnt10a,FZD9_LRP5,Wnt10a_FZD9_LRP5
Wnt10b,FZD1_LRP5,Wnt10b_FZD1_LRP5
Wnt10b,FZD10_LRP5,Wnt10b_FZD10_LRP5
Wnt10b,FZD2_LRP5,Wnt10b_FZD2_LRP5
Wnt10b,FZD3_LRP5,Wnt10b_FZD3_LRP5
Wnt10b,FZD4_LRP5,Wnt10b_FZD4_LRP5
Wnt10b,FZD5_LRP5,Wnt10b_FZD5_LRP5
Wnt10b,FZD6_LRP5,Wnt10b_FZD6_LRP5
Wnt10b,FZD7_LRP5,Wnt10b_FZD7_LRP5
Wnt10b,FZD8_LRP5,Wnt10b_FZD8_LRP5
Wnt10b,FZD9_LRP5,Wnt10b_FZD9_LRP5
Wnt16,FZD1_LRP5,Wnt16_FZD1_LRP5
Wnt16,FZD10_LRP5,Wnt16_FZD10_LRP5
Wnt16,FZD2_LRP5,Wnt16_FZD2_LRP5
Wnt16,FZD3_LRP5,Wnt16_FZD3_LRP5
Wnt16,FZD4_LRP5,Wnt16_FZD4_LRP5
Wnt16,FZD5_LRP5,Wnt16_FZD5_LRP5
Wnt16,FZD6_LRP5,Wnt16_FZD6_LRP5
Wnt16,FZD7_LRP5,Wnt16_FZD7_LRP5
Wnt16,FZD8_LRP5,Wnt16_FZD8_LRP5
Wnt16,FZD9_LRP5,Wnt16_FZD9_LRP5
Wnt2,FZD1_LRP5,Wnt2_FZD1_LRP5
Wnt2,FZD10_LRP5,Wnt2_FZD10_LRP5
Wnt2,FZD2_LRP5,Wnt2_FZD2_LRP5
Wnt2,FZD3_LRP5,Wnt2_FZD3_LRP5
Wnt2,FZD4_LRP5,Wnt2_FZD4_LRP5
Wnt2,FZD5_LRP5,Wnt2_FZD5_LRP5
Wnt2,FZD6_LRP5,Wnt2_FZD6_LRP5
Wnt2,FZD7_LRP5,Wnt2_FZD7_LRP5
Wnt2,FZD8_LRP5,Wnt2_FZD8_LRP5
Wnt2,FZD9_LRP5,Wnt2_FZD9_LRP5
Wnt2b,FZD1_LRP5,Wnt2b_FZD1_LRP5
Wnt2b,FZD10_LRP5,Wnt2b_FZD10_LRP5
Wnt2b,FZD2_LRP5,Wnt2b_FZD2_LRP5
Wnt2b,FZD3_LRP5,Wnt2b_FZD3_LRP5
Wnt2b,FZD4_LRP5,Wnt2b_FZD4_LRP5
Wnt2b,FZD5_LRP5,Wnt2b_FZD5_LRP5
Wnt2b,FZD6_LRP5,Wnt2b_FZD6_LRP5
Wnt2b,FZD7_LRP5,Wnt2b_FZD7_LRP5
Wnt2b,FZD8_LRP5,Wnt2b_FZD8_LRP5
Wnt2b,FZD9_LRP5,Wnt2b_FZD9_LRP5
Wnt3,FZD1_LRP5,Wnt3_FZD1_LRP5
Wnt3,FZD10_LRP5,Wnt3_FZD10_LRP5
Wnt3,FZD2_LRP5,Wnt3_FZD2_LRP5
Wnt3,FZD3_LRP5,Wnt3_FZD3_LRP5
Wnt3,FZD4_LRP5,Wnt3_FZD4_LRP5
Wnt3,FZD5_LRP5,Wnt3_FZD5_LRP5
Wnt3,FZD6_LRP5,Wnt3_FZD6_LRP5
Wnt3,FZD7_LRP5,Wnt3_FZD7_LRP5
Wnt3,FZD8_LRP5,Wnt3_FZD8_LRP5
Wnt3,FZD9_LRP5,Wnt3_FZD9_LRP5
Wnt3a,FZD1_LRP5,Wnt3a_FZD1_LRP5
Wnt3a,FZD10_LRP5,Wnt3a_FZD10_LRP5
