ligand_receptor,A2m_Lrp1,#N/A
Tgfb1_TGFbR1_R2,Aanat_Mtnr1a,#N/A
Tgfb2_TGFbR1_R2,Ace_Agtr2,#N/A
Tgfb3_TGFbR1_R2,Ace_Bdkrb2,#N/A
Tgfb1_ACVR1B_TGFbR2,Adam10_Axl,#N/A
Tgfb1_ACVR1C_TGFbR2,Adam10_Epha3,#N/A
Tgfb2_ACVR1B_TGFbR2,Adam12_Itga9,#N/A
Tgfb2_ACVR1C_TGFbR2,Adam12_Itgb1,#N/A
Tgfb3_ACVR1B_TGFbR2,Adam12_Sdc4,#N/A
Tgfb3_ACVR1C_TGFbR2,Adam15_Itga9,#N/A
Tgfb1_ACVR1_TGFbR,Adam15_Itgb1,#N/A
Tgfb2_ACVR1_TGFbR,Adam15_Itga5,#N/A
Tgfb3_ACVR1_TGFbR,Adam15_Itgav,#N/A
Bmp2_BMPR1A_ACVR2A,Adam15_Itgb3,#N/A
Bmp2_BMPR1A_ACVR2B,Adam17_Itgb1,#N/A
Bmp2_BMPR1A_BMPR2,Adam17_Itga5,#N/A
Bmp2_BMPR1B_ACVR2A,Adam17_Erbb4,#N/A
Bmp2_BMPR1B_ACVR2B,Adam17_Notch1,#N/A
Bmp2_BMPR1B_BMPR2,Adam2_Itga9,#N/A
Bmp4_BMPR1A_ACVR2A,Adam2_Itgb1,#N/A
Bmp4_BMPR1A_ACVR2B,Adam2_Cd9,#N/A
Bmp4_BMPR1A_BMPR2,Adam2_Itga6,#N/A
Bmp4_BMPR1B_ACVR2A,Adam2_Itgb7,#N/A
Bmp4_BMPR1B_ACVR2B,Adam23_Itga5,#N/A
Bmp4_BMPR1B_BMPR2,Adam23_Itgb3,#N/A
Gdf5_BMPR1A_ACVR2A,Adam28_Itga4,#N/A
Gdf5_BMPR1A_ACVR2B,Adam9_Itgb1,#N/A
Gdf5_BMPR1A_BMPR2,Adam9_Itgav,#N/A
Gdf5_BMPR1B_ACVR2A,Adam9_Itga6,#N/A
Gdf5_BMPR1B_ACVR2B,Adam9_Itga3,#N/A
Gdf5_BMPR1B_BMPR2,Adam9_Itgb5,#N/A
